,Id,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,GrLivArea,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SaleCondition,SalePrice
0,1,8450,CollgCr,1Fam,2Story,7,5,2003,GasA,1710,8,Attchd,2003.0,2,548,2008,Normal,208500
1,2,9600,Veenker,1Fam,1Story,6,8,1976,GasA,1262,6,Attchd,1976.0,2,460,2007,Normal,181500
2,3,11250,CollgCr,1Fam,2Story,7,5,2001,GasA,1786,6,Attchd,2001.0,2,608,2008,Normal,223500
3,4,9550,Crawfor,1Fam,2Story,7,5,1915,GasA,1717,7,Detchd,1998.0,3,642,2006,Abnorml,140000
4,5,14260,NoRidge,1Fam,2Story,8,5,2000,GasA,2198,9,Attchd,2000.0,3,836,2008,Normal,250000
5,6,14115,Mitchel,1Fam,1.5Fin,5,5,1993,GasA,1362,5,Attchd,1993.0,2,480,2009,Normal,143000
6,7,10084,Somerst,1Fam,1Story,8,5,2004,GasA,1694,7,Attchd,2004.0,2,636,2007,Normal,307000
7,8,10382,NWAmes,1Fam,2Story,7,6,1973,GasA,2090,7,Attchd,1973.0,2,484,2009,Normal,200000
8,9,6120,OldTown,1Fam,1.5Fin,7,5,1931,GasA,1774,8,Detchd,1931.0,2,468,2008,Abnorml,129900
9,10,7420,BrkSide,2fmCon,1.5Unf,5,6,1939,GasA,1077,5,Attchd,1939.0,1,205,2008,Normal,118000
10,11,11200,Sawyer,1Fam,1Story,5,5,1965,GasA,1040,5,Detchd,1965.0,1,384,2008,Normal,129500
11,12,11924,NridgHt,1Fam,2Story,9,5,2005,GasA,2324,11,BuiltIn,2005.0,3,736,2006,Partial,345000
12,13,12968,Sawyer,1Fam,1Story,5,6,1962,GasA,912,4,Detchd,1962.0,1,352,2008,Normal,144000
13,14,10652,CollgCr,1Fam,1Story,7,5,2006,GasA,1494,7,Attchd,2006.0,3,840,2007,Partial,279500
14,15,10920,NAmes,1Fam,1Story,6,5,1960,GasA,1253,5,Attchd,1960.0,1,352,2008,Normal,157000
15,16,6120,BrkSide,1Fam,1.5Unf,7,8,1929,GasA,854,5,Detchd,1991.0,2,576,2007,Normal,132000
16,17,11241,NAmes,1Fam,1Story,6,7,1970,GasA,1004,5,Attchd,1970.0,2,480,2010,Normal,149000
17,18,10791,Sawyer,Duplex,1Story,4,5,1967,GasA,1296,6,CarPort,1967.0,2,516,2006,Normal,90000
18,19,13695,SawyerW,1Fam,1Story,5,5,2004,GasA,1114,6,Detchd,2004.0,2,576,2008,Normal,159000
19,20,7560,NAmes,1Fam,1Story,5,6,1958,GasA,1339,6,Attchd,1958.0,1,294,2009,Abnorml,139000
20,21,14215,NridgHt,1Fam,2Story,8,5,2005,GasA,2376,9,BuiltIn,2005.0,3,853,2006,Partial,325300
21,22,7449,IDOTRR,1Fam,1.5Unf,7,7,1930,GasA,1108,6,Attchd,1930.0,1,280,2007,Normal,139400
22,23,9742,CollgCr,1Fam,1Story,8,5,2002,GasA,1795,7,Attchd,2002.0,2,534,2008,Normal,230000
23,24,4224,MeadowV,TwnhsE,1Story,5,7,1976,GasA,1060,6,Attchd,1976.0,2,572,2007,Normal,129900
24,25,8246,Sawyer,1Fam,1Story,5,8,1968,GasA,1060,6,Attchd,1968.0,1,270,2010,Normal,154000
25,26,14230,NridgHt,1Fam,1Story,8,5,2007,GasA,1600,7,Attchd,2007.0,3,890,2009,Normal,256300
26,27,7200,NAmes,1Fam,1Story,5,7,1951,GasA,900,5,Detchd,2005.0,2,576,2010,Normal,134800
27,28,11478,NridgHt,1Fam,1Story,8,5,2007,GasA,1704,7,Attchd,2008.0,3,772,2010,Normal,306000
28,29,16321,NAmes,1Fam,1Story,5,6,1957,GasA,1600,6,Attchd,1957.0,1,319,2006,Normal,207500
29,30,6324,BrkSide,1Fam,1Story,4,6,1927,GasA,520,4,Detchd,1920.0,1,240,2008,Normal,68500
30,31,8500,IDOTRR,1Fam,2Story,4,4,1920,GasA,1317,6,Detchd,1920.0,1,250,2008,Normal,40000
31,32,8544,Sawyer,1Fam,1Story,5,6,1966,GasA,1228,6,Attchd,1966.0,1,271,2008,Normal,149350
32,33,11049,CollgCr,1Fam,1Story,8,5,2007,GasA,1234,7,Attchd,2007.0,2,484,2008,Normal,179900
33,34,10552,NAmes,1Fam,1Story,5,5,1959,GasA,1700,6,Attchd,1959.0,2,447,2010,Normal,165500
